zoom,tile_x,tile_y,scope,variant,repeat,ms,bytes
12,529,361,full,fix,0,377.9,237916
12,529,361,full,before,0,309.2,233304
12,529,361,full,after,0,409.4,237916
12,529,361,roads,fix,0,146.8,114515
12,529,361,roads,before,0,128.5,114515
12,529,361,roads,after,0,135.1,114515
12,529,361,roads,before,1,122.5,114515
12,529,361,roads,after,1,132.5,114515
12,529,361,roads,fix,1,128.6,114515
12,529,361,full,before,1,300.9,233304
12,529,361,full,after,1,415.9,237916
12,529,361,full,fix,1,371.4,237916
12,529,361,full,after,2,423.6,237916
12,529,361,full,fix,2,338.3,237916
12,529,361,full,before,2,295.1,233304
12,529,361,roads,after,2,131.0,114515
12,529,361,roads,fix,2,113.1,114515
12,529,361,roads,before,2,101.7,114515
12,529,361,roads,fix,3,102.0,114515
12,529,361,roads,before,3,100.9,114515
12,529,361,roads,after,3,110.3,114515
12,529,361,full,fix,3,314.4,237916
12,529,361,full,before,3,257.7,233304
12,529,361,full,after,3,349.6,237916
12,529,361,full,before,4,286.9,233304
12,529,361,full,after,4,330.2,237916
12,529,361,full,fix,4,355.8,237916
12,529,361,roads,before,4,107.6,114515
12,529,361,roads,after,4,121.9,114515
12,529,361,roads,fix,4,110.3,114515
12,529,361,roads,after,5,106.6,114515
12,529,361,roads,fix,5,103.4,114515
12,529,361,roads,before,5,99.9,114515
12,529,361,full,after,5,315.5,237916
12,529,361,full,fix,5,325.0,237916
12,529,361,full,before,5,275.3,233304
12,529,361,full,fix,6,337.5,237916
12,529,361,full,before,6,275.0,233304
12,529,361,full,after,6,336.3,237916
12,529,361,roads,fix,6,111.2,114515
12,529,361,roads,before,6,107.9,114515
12,529,361,roads,after,6,122.7,114515
12,529,361,roads,before,7,94.5,114515
12,529,361,roads,after,7,110.4,114515
12,529,361,roads,fix,7,102.8,114515
12,529,361,full,before,7,257.3,233304
12,529,361,full,after,7,317.0,237916
12,529,361,full,fix,7,326.3,237916
12,529,361,full,after,8,332.8,237916
12,529,361,full,fix,8,394.3,237916
12,529,361,full,before,8,338.3,233304
12,529,361,roads,after,8,135.7,114515
12,529,361,roads,fix,8,133.1,114515
12,529,361,roads,before,8,125.3,114515
12,530,361,full,before,0,600.8,1098217
12,530,361,full,after,0,832.3,1215439
12,530,361,full,fix,0,747.2,1215434
